  30 ê-nipahât	PV/e+nipahêw+V+TA+Cnj+3Sg+4Sg/PlO
  30 ê-kîwêt	PV/e+kîwêw+V+AI+Cnj+3Sg
  30 ê-kitâpamât	PV/e+kitâpamêw+V+TA+Cnj+3Sg+4Sg/PlO
  30 ê-isit	PV/e+itêw+V+TA+Cnj+3Sg+1SgO
  30 cikêmâ	cikêmâ+Ipc
  29 ê-wayawît	PV/e+wayawîw+V+AI+Cnj+3Sg
  29 ê-tôtahk	PV/e+tôtam+V+TI+Cnj+3Sg
  29 ê-apiyit	PV/e+apiw+V+AI+Cnj+4Sg/Pl
  29 takohtêwak	takohtêw+V+AI+Ind+3Pl
  29 sisonê	sisonê+Ipc
  29 nâway	nâway+Ipc
  29 nipâw	nipâw+V+AI+Ind+3Sg
  29 kîwêwak	kîwêw+V+AI+Ind+3Pl
  29 kâ-itwêt	PV/kaa+itwêw+V+AI+Cnj+3Sg
  29 kapê-tipisk	kapê-tipisk+Ipc
  29 askîhk	askîhk+Ipc
  28 ê-mâcît	PV/e+mâcîw+V+AI+Cnj+3Sg
  28 ê-apit	PV/e+apiw+V+AI+Cnj+3Sg
  28 waniskâw	waniskâw+V+AI+Ind+3Sg
  28 tapasîwak	tapasîw+V+AI+Ind+3Pl
  28 kâ-nayahtahk	PV/kaa+nayahtam+V+TI+Cnj+3Sg
  27 ê-takohtêcik	PV/e+takohtêw+V+AI+Cnj+3Pl
  27 ê-itêyimât	PV/e+itêyimêw+V+TA+Cnj+3Sg+4Sg/PlO
  27 âpihtaw	âpihtaw+Ipc
  27 pimâtisiw	pimâtisiw+V+AI+Ind+3Sg
  27 pakwâtam	pakwâtam+V+TI+Ind+3Sg
  27 mistik	mistik+Ipc
  27 kîwê	kîwêw+V+AI+Imp+Imm+2Sg
  27 asici	asici+Ipc
  26 ê-kî-ayât	PV/e+PV/ki+ayâw+V+AI+Cnj+3Sg
  26 ê-kiskêyihtahk	PV/e+kiskêyihtam+V+TI+Cnj+3Sg
  26 ê-itâpit	PV/e+itâpiw+V+AI+Cnj+3Sg
  26 miywêyihtamwak	miywêyihtam+V+TI+Ind+3Pl
  26 ka	ka+Ipc
  25 ê-mîcicik	PV/e+mîciw+V+TI+Cnj+3Pl
  25 ê-kî-mîcisocik	PV/e+PV/ki+mîcisow+V+AI+Cnj+3Pl
  25 wâsakâm	wâsakâm+Ipc
  25 wâpaniyiw	wâpan+V+II+Ind+4Sg
  25 takosinwak	takosin+V+AI+Ind+3Pl
  25 pîhc-âyihk	pîhc-âyihk+Ipc
  25 pêyakwanohk	pêyakwanohk+Ipc
  25 nêwo-tipiskâw	nêwo-tipiskâw+Ipc
  25 nâh	nâh+Ipc
  25 kâ-itwêyit	PV/kaa+itwêw+V+AI+Cnj+4Sg/Pl
  24 êkwayâc	êkwayâc+Ipc
  24 êcika	êcika+Ipc
  24 ê-sipwêhtêyit	PV/e+sipwêhtêw+V+AI+Cnj+4Sg/Pl
  24 pâskac	pâskac+Ipc
  24 niyânan	niyânan+Ipc
  24 kâ-pêhtahk	PV/kaa+pêhtam+V+TI+Cnj+3Sg
  23 ê-nipâcik	PV/e+nipâw+V+AI+Cnj+3Pl
  23 ê-mâtot	PV/e+mâtow+V+AI+Cnj+3Sg
  23 ê-kî-ispayik	PV/e+PV/ki+ispayiw+V+II+Cnj+3Sg
  23 âyiman	âyiman+V+II+Ind+3Sg
  23 wâskahikanihk	wâskahikanihk+Ipc
  23 tôtam	tôtam+V+TI+Ind+3Sg
  23 otihtêw	otihtêw+V+TA+Ind+3Sg+4Sg/PlO
  23 nimosô	nimosôm+N+A+D+Voc+Sg
  23 nahapiw	nahapiw+V+AI+Ind+3Sg
  23 kâ-nîpihk	PV/kaa+nîpin+V+II+Cnj+3Sg
  22 êkwayikohk	êkwayikohk+Ipc
  22 tânita	tânita+Ipc
  22 tawâw	tawâw+Ipc
  22 pêtâ	pêtâw+V+TI+Imp+Imm+2Sg
  22 pimohtêw	pimohtêw+V+AI+Ind+3Sg
  22 oti	oti+Ipc
  22 mâcîw	mâcîw+V+AI+Ind+3Sg
  22 miyik	miyêw+V+TA+Imp+Imm+2Pl+1SgO
  22 ay	ay+Ipc
  21 ê-sipwêhtêcik	PV/e+sipwêhtêw+V+AI+Cnj+3Pl
  21 ê-pîhtokêyit	PV/e+pîhtokêw+V+AI+Cnj+4Sg/Pl
  21 ê-mîcisocik	PV/e+mîcisow+V+AI+Cnj+3Pl
  21 ê-kîsikâk	PV/e+kîsikâw+V+II+Cnj+3Sg
  21 ê-kî-osîhtâcik	PV/e+PV/ki+osîhtâw+V+TI+Cnj+3Pl
  21 wîya	wiya+Pron+Pers+3Sg
  21 wawêyîwak	wawêyîw+V+AI+Ind+3Pl
  21 tâni	tâni+Ipc
  21 otina	otinam+V+TI+Imp+Imm+2Sg
  21 nôhtaw	nôhtaw+Ipc
  21 nêkâ	nikâwiy+N+A+D+Voc+Sg
  21 nitomêw	nitomêw+V+TA+Ind+3Sg+4Sg/PlO
  21 nipahêwak	nipahêw+V+TA+Ind+3Pl+4Sg/PlO
  21 maywês	maywês+Ipc
  21 kâ-itikot	PV/kaa+itêw+V+TA+Cnj+4Sg/Pl+3SgO
  21 api	apiw+V+AI+Imp+Imm+2Sg
  20 êkotowihk	êkotowihk+Ipc
  20 ê-takosihk	PV/e+takosin+V+AI+Cnj+3Sg
  20 ê-pêkopayit	PV/e+pêkopayiw+V+AI+Cnj+3Sg
